,record_time,type,name,mappingName,capacity,used,percent,gov,status,note,noteId
0,2018-04-17 13:40,nuclear,核一#1,['核一'],636.0,0.0,0,True,fix,歲修逾排程,
1,2018-04-17 13:40,nuclear,核一#2,['核一'],636.0,0.0,0,True,fix,歲修,
2,2018-04-17 13:40,nuclear,核二#1,['核二'],985.0,981.3,99.62,True,online,,
3,2018-04-17 13:40,nuclear,核二#2,['核二'],985.0,0.0,0,True,fix,測試停機,
4,2018-04-17 13:40,nuclear,核三#1,['核三'],951.0,0.0,0,True,fix,歲修,
5,2018-04-17 13:40,nuclear,核三#2,['核三'],951.0,937.0,98.53,True,online,,
6,2018-04-17 13:40,coal,林口#1,['林口'],800.0,0.0,0,True,fix,歲修,
7,2018-04-17 13:40,coal,林口#2,['林口'],800.0,759.3,94.91,True,online,,
8,2018-04-17 13:40,coal,台中#1,['台中'],550.0,505.2,91.85,True,online,環保限制,
9,2018-04-17 13:40,coal,台中#2,['台中'],550.0,423.5,77,True,online,環保限制,
10,2018-04-17 13:40,coal,台中#3,['台中'],550.0,413.3,75.15,True,online,環保限制,
11,2018-04-17 13:40,coal,台中#4,['台中'],550.0,428.8,77.96,True,online,環保限制,
12,2018-04-17 13:40,coal,台中#5,['台中'],550.0,436.2,79.31,True,online,環保限制,
13,2018-04-17 13:40,coal,台中#6,['台中'],550.0,426.1,77.47,True,online,環保限制,
14,2018-04-17 13:40,coal,台中#7,['台中'],550.0,0.0,0,True,fix,歲修,
15,2018-04-17 13:40,coal,台中#8,['台中'],550.0,483.0,87.82,True,online,環保限制,
16,2018-04-17 13:40,coal,台中#9,['台中'],550.0,429.2,78.04,True,online,環保限制,
17,2018-04-17 13:40,coal,台中#10,['台中'],550.0,431.2,78.4,True,online,環保限制,
18,2018-04-17 13:40,coal,興達#1,['興達'],500.0,0.0,0,True,fix,歲修,
19,2018-04-17 13:40,coal,興達#2,['興達'],500.0,472.1,94.42,True,online,,
20,2018-04-17 13:40,coal,興達#3,['興達'],550.0,527.5,95.91,True,online,,
21,2018-04-17 13:40,coal,興達#4,['興達'],550.0,530.9,96.53,True,online,,
22,2018-04-17 13:40,coal,大林#1,['大林'],800.0,756.4,94.55,True,online,,
23,2018-04-17 13:40,coal,大林#2(註10),['大林'],0.0,0.0,0,True,online,,10
24,2018-04-17 13:40,co-gen,汽電共生,['汽電共生'],623.2,1208.1,193.85,True,online,,
25,2018-04-17 13:40,coal,和平#1,['和平'],648.6,602.5,92.89,False,online,,
26,2018-04-17 13:40,coal,和平#2,['和平'],648.6,595.4,91.8,False,online,,
27,2018-04-17 13:40,coal,麥寮#1,['麥寮'],600.0,568.7,94.78,False,online,,
28,2018-04-17 13:40,coal,麥寮#2,['麥寮'],600.0,568.4,94.73,False,online,,
29,2018-04-17 13:40,coal,麥寮#3,['麥寮'],600.0,0.0,0,False,fix,歲修,
30,2018-04-17 13:40,lng,大潭CC#1,['大潭'],742.7,650.1,87.53,True,online,,
31,2018-04-17 13:40,lng,大潭CC#2,['大潭'],742.7,419.1,56.43,True,online,部分歲修,
32,2018-04-17 13:40,lng,大潭CC#3,['大潭'],724.7,571.0,78.79,True,online,,
33,2018-04-17 13:40,lng,大潭CC#4,['大潭'],724.7,680.7,93.93,True,online,,
34,2018-04-17 13:40,lng,大潭CC#5,['大潭'],724.7,663.0,91.49,True,online,,
35,2018-04-17 13:40,lng,大潭CC#6,['大潭'],724.7,0.0,0,True,fix,歲修,
36,2018-04-17 13:40,lng,大潭CC#7,['大潭'],600.0,550.3,91.72,True,online,,
37,2018-04-17 13:40,lng,通霄CC#1,['通霄'],892.6,884.5,99.09,True,online,,
38,2018-04-17 13:40,lng,通霄CC#4,['通霄'],386.0,359.5,93.13,True,online,,
39,2018-04-17 13:40,lng,通霄CC#5,['通霄'],386.0,366.7,95,True,online,,
40,2018-04-17 13:40,lng,通霄CC#6,['通霄'],321.2,159.7,49.72,True,online,部分檢修,
41,2018-04-17 13:40,lng,興達CC#1,['興達'],445.2,332.7,74.73,True,online,,
42,2018-04-17 13:40,lng,興達CC#2,['興達'],445.2,436.6,98.07,True,online,,
43,2018-04-17 13:40,lng,興達CC#3,['興達'],445.2,241.3,54.2,True,online,部分檢修,
44,2018-04-17 13:40,lng,興達CC#4,['興達'],445.2,329.7,74.06,True,online,,
45,2018-04-17 13:40,lng,興達CC#5,['興達'],445.2,244.9,55.01,True,online,部分檢修,
46,2018-04-17 13:40,lng,南部CC#1,['南部'],288.8,256.7,88.89,True,online,,
