,record_time,type,name,mappingName,capacity,used,percent,gov,status,note,noteId
0,2018-10-02 14:50,nuclear,核一#1,['核一'],636.0,0.0,0,True,fix,歲修逾排程,
1,2018-10-02 14:50,nuclear,核一#2,['核一'],636.0,0.0,0,True,fix,歲修逾排程,
2,2018-10-02 14:50,nuclear,核二#1,['核二'],985.0,977.3,99.22,True,online,,
3,2018-10-02 14:50,nuclear,核二#2,['核二'],985.0,975.9,99.08,True,online,,
4,2018-10-02 14:50,nuclear,核三#1,['核三'],951.0,935.8,98.4,True,online,,
5,2018-10-02 14:50,nuclear,核三#2,['核三'],951.0,938.1,98.64,True,online,,
6,2018-10-02 14:50,coal,林口#1,['林口'],800.0,755.1,94.39,True,online,,
7,2018-10-02 14:50,coal,林口#2,['林口'],800.0,757.0,94.63,True,online,,
8,2018-10-02 14:50,coal,台中#1,['台中'],550.0,529.9,96.35,True,online,,
9,2018-10-02 14:50,coal,台中#2,['台中'],550.0,0.0,0,True,fix,環保工程,
10,2018-10-02 14:50,coal,台中#3,['台中'],550.0,520.5,94.64,True,online,,
11,2018-10-02 14:50,coal,台中#4,['台中'],550.0,516.8,93.96,True,online,,
12,2018-10-02 14:50,coal,台中#5,['台中'],550.0,524.9,95.44,True,online,,
13,2018-10-02 14:50,coal,台中#6,['台中'],550.0,524.0,95.27,True,online,,
14,2018-10-02 14:50,coal,台中#7,['台中'],550.0,525.0,95.45,True,online,,
15,2018-10-02 14:50,coal,台中#8,['台中'],550.0,479.7,87.22,True,online,自主降載減排,
16,2018-10-02 14:50,coal,台中#9,['台中'],550.0,477.1,86.75,True,online,自主降載減排,
17,2018-10-02 14:50,coal,台中#10,['台中'],550.0,527.7,95.95,True,online,,
18,2018-10-02 14:50,coal,興達#1,['興達'],500.0,472.1,94.42,True,online,,
19,2018-10-02 14:50,coal,興達#2,['興達'],500.0,483.4,96.68,True,online,運轉限制,
20,2018-10-02 14:50,coal,興達#3,['興達'],550.0,521.4,94.8,True,online,,
21,2018-10-02 14:50,coal,興達#4,['興達'],550.0,523.2,95.13,True,online,,
22,2018-10-02 14:50,coal,大林#1,['大林'],800.0,757.9,94.74,True,online,,
23,2018-10-02 14:50,coal,大林#2(註10),['大林'],0.0,765.8,0,True,online,新機組試俥,10
24,2018-10-02 14:50,co-gen,汽電共生,['汽電共生'],623.2,1086.8,174.39,True,online,,
25,2018-10-02 14:50,coal,和平#1,['和平'],648.6,603.9,93.11,False,online,,
26,2018-10-02 14:50,coal,和平#2,['和平'],648.6,600.6,92.6,False,online,,
27,2018-10-02 14:50,coal,麥寮#1,['麥寮'],600.0,0.0,0,False,fix,檢修,
28,2018-10-02 14:50,coal,麥寮#2,['麥寮'],600.0,568.8,94.8,False,online,,
29,2018-10-02 14:50,coal,麥寮#3,['麥寮'],600.0,574.2,95.7,False,online,,
30,2018-10-02 14:50,lng,大潭CC#1,['大潭'],742.7,478.3,64.4,True,online,,
31,2018-10-02 14:50,lng,大潭CC#2,['大潭'],742.7,471.8,63.52,True,online,部分檢修,
32,2018-10-02 14:50,lng,大潭CC#3,['大潭'],724.7,690.5,95.28,True,online,,
33,2018-10-02 14:50,lng,大潭CC#4,['大潭'],724.7,331.9,45.8,True,online,部分歲修,
34,2018-10-02 14:50,lng,大潭CC#5,['大潭'],724.7,337.5,46.57,True,online,環保限制,
35,2018-10-02 14:50,lng,大潭CC#6,['大潭'],724.7,323.5,44.64,True,online,環保限制,
36,2018-10-02 14:50,lng,大潭CC#7,['大潭'],600.0,0.0,0,True,online,部分檢修,
37,2018-10-02 14:50,lng,通霄CC#1,['通霄'],892.6,700.6,78.49,True,online,,
38,2018-10-02 14:50,lng,通霄CC#2(註10),['通霄'],0.0,872.6,0,True,online,新機組試俥,10
39,2018-10-02 14:50,lng,通霄CC#3(註10),['通霄'],0.0,285.9,0,True,online,新機組試俥,10
40,2018-10-02 14:50,lng,通霄CC#4,['通霄'],386.0,95.3,24.69,True,online,電源線限制,
41,2018-10-02 14:50,lng,通霄CC#5,['通霄'],386.0,0.0,0,True,fix,歲修,
42,2018-10-02 14:50,lng,通霄CC#6,['通霄'],321.2,98.9,30.79,True,online,電源線限制,
43,2018-10-02 14:50,lng,興達CC#1,['興達'],445.2,276.3,62.06,True,online,部分檢修,
44,2018-10-02 14:50,lng,興達CC#2,['興達'],445.2,393.5,88.39,True,online,,
45,2018-10-02 14:50,lng,興達CC#3,['興達'],445.2,0.0,0,True,fix,歲修,
46,2018-10-02 14:50,lng,興達CC#4,['興達'],445.2,111.6,25.07,True,online,EOH限制,
47,2018-10-02 14:50,lng,興達CC#5,['興達'],445.2,369.0,82.88,True,online,,
48,2018-10-02 14:50,lng,南部CC#1,['南部'],288.8,287.2,99.45,True,online,,
