,record_time,type,name,mappingName,capacity,used,percent,gov,status,note,noteId
0,2021-11-24 11:50,nuclear,,[''],0,985.0,0,1,online,0.000%,
1,2021-11-24 11:50,nuclear,,[''],0,985.0,0,1,online,100.030%,
2,2021-11-24 11:50,nuclear,,[''],0,951.0,0,1,online,99.600%,
3,2021-11-24 11:50,nuclear,,[''],0,951.0,0,1,online,0.000%,
4,2021-11-24 11:50,nuclear,,[''],0,0.0,0,1,online,,
5,2021-11-24 11:50,coal,,[''],0,800.0,0,1,online,94.037%,
6,2021-11-24 11:50,coal,,[''],0,800.0,0,1,online,94.600%,
7,2021-11-24 11:50,coal,,[''],0,800.0,0,1,online,94.537%,
8,2021-11-24 11:50,coal,,[''],0,550.0,0,1,online,0.000%,
9,2021-11-24 11:50,coal,,[''],0,550.0,0,1,online,59.764%,
10,2021-11-24 11:50,coal,,[''],0,550.0,0,1,online,33.836%,
11,2021-11-24 11:50,coal,,[''],0,550.0,0,1,online,0.000%,
12,2021-11-24 11:50,coal,,[''],0,550.0,0,1,online,0.000%,
13,2021-11-24 11:50,coal,,[''],0,550.0,0,1,online,96.600%,
14,2021-11-24 11:50,coal,,[''],0,550.0,0,1,online,56.800%,
15,2021-11-24 11:50,coal,,[''],0,550.0,0,1,online,62.236%,
16,2021-11-24 11:50,coal,,[''],0,550.0,0,1,online,77.127%,
17,2021-11-24 11:50,coal,,[''],0,550.0,0,1,online,60.345%,
18,2021-11-24 11:50,coal,,[''],0,500.0,0,1,online,0.000%,
19,2021-11-24 11:50,coal,,[''],0,500.0,0,1,online,48.960%,
20,2021-11-24 11:50,coal,,[''],0,550.0,0,1,online,0.000%,
21,2021-11-24 11:50,coal,,[''],0,550.0,0,1,online,46.982%,
22,2021-11-24 11:50,coal,,[''],0,800.0,0,1,online,94.925%,
23,2021-11-24 11:50,coal,,[''],0,800.0,0,1,online,95.225%,
24,2021-11-24 11:50,coal,,[''],0,0.0,0,1,online,,
25,2021-11-24 11:50,co-gen,,[''],0,618.0,0,1,online,-,
26,2021-11-24 11:50,co-gen,,[''],0,0.0,0,1,online,,
27,2021-11-24 11:50,coal,,[''],0,648.6,0,False,online,92.406%,
28,2021-11-24 11:50,coal,,[''],0,648.6,0,False,online,0.000%,
29,2021-11-24 11:50,coal,,[''],0,600.0,0,False,online,41.650%,
30,2021-11-24 11:50,coal,,[''],0,600.0,0,False,online,0.000%,
31,2021-11-24 11:50,coal,,[''],0,600.0,0,False,online,95.217%,
32,2021-11-24 11:50,coal,,[''],0,0.0,0,False,online,,
33,2021-11-24 11:50,lng,,[''],0,742.7,0,1,online,82.294%,
34,2021-11-24 11:50,lng,,[''],0,742.7,0,1,online,26.511%,
35,2021-11-24 11:50,lng,,[''],0,724.7,0,1,online,83.842%,
36,2021-11-24 11:50,lng,,[''],0,724.7,0,1,online,95.212%,
37,2021-11-24 11:50,lng,,[''],0,724.7,0,1,online,94.260%,
38,2021-11-24 11:50,lng,,[''],0,724.7,0,1,online,87.733%,
39,2021-11-24 11:50,lng,,[''],0,600.0,0,1,online,0.000%,
40,2021-11-24 11:50,lng,,[''],0,892.6,0,1,online,101.524%,
41,2021-11-24 11:50,lng,,[''],0,892.6,0,1,online,101.916%,
42,2021-11-24 11:50,lng,,[''],0,892.6,0,1,online,0.000%,
43,2021-11-24 11:50,lng,,[''],0,386.0,0,1,online,81.762%,
44,2021-11-24 11:50,lng,,[''],0,386.0,0,1,online,82.332%,
45,2021-11-24 11:50,lng,,[''],0,321.2,0,1,online,103.487%,
46,2021-11-24 11:50,lng,,[''],0,445.2,0,1,online,73.047%,
47,2021-11-24 11:50,lng,,[''],0,445.2,0,1,online,66.286%,
48,2021-11-24 11:50,lng,,[''],0,445.2,0,1,online,89.984%,
49,2021-11-24 11:50,lng,,[''],0,445.2,0,1,online,85.716%,
50,2021-11-24 11:50,lng,,[''],0,445.2,0,1,online,72.419%,
51,2021-11-24 11:50,lng,,[''],0,288.8,0,1,online,93.663%,
52,2021-11-24 11:50,lng,,[''],0,288.8,0,1,online,95.810%,
53,2021-11-24 11:50,lng,,[''],0,288.8,0,1,online,75.035%,
54,2021-11-24 11:50,lng,,[''],0,251.4,0,1,online,94.073%,
55,2021-11-24 11:50,lng,,[''],0,500.0,0,1,online,28.180%,
56,2021-11-24 11:50,lng,,[''],0,550.0,0,1,online,39.618%,
57,2021-11-24 11:50,lng,,[''],0,0.0,0,1,online,,
58,2021-11-24 11:50,lng,,[''],0,450.0,0,False,online,93.956%,
59,2021-11-24 11:50,lng,,[''],0,450.0,0,False,online,92.178%,
60,2021-11-24 11:50,lng,,[''],0,600.0,0,False,online,100.300%,
61,2021-11-24 11:50,lng,,[''],0,480.0,0,False,online,0.000%,
62,2021-11-24 11:50,lng,,[''],0,506.9,0,False,online,93.005%,
63,2021-11-24 11:50,lng,,[''],0,490.0,0,False,online,54.367%,
64,2021-11-24 11:50,lng,,[''],0,700.0,0,False,online,98.429%,
65,2021-11-24 11:50,lng,,[''],0,510.0,0,False,online,99.431%,
66,2021-11-24 11:50,lng,,[''],0,506.9,0,False,online,93.774%,
67,2021-11-24 11:50,lng,,[''],0,506.9,0,False,online,93.597%,
68,2021-11-24 11:50,lng,,[''],0,0.0,0,False,online,,
69,2021-11-24 11:50,oil,,[''],0,500.0,0,1,online,27.840%,
70,2021-11-24 11:50,oil,,[''],0,500.0,0,1,online,29.740%,
71,2021-11-24 11:50,oil,,[''],0,129.8,0,1,online,14.638%,
72,2021-11-24 11:50,oil,,[''],0,0.0,0,1,online,,
73,2021-11-24 11:50,diesel,,[''],0,0.0,0,1,,0.000%,
74,2021-11-24 11:50,diesel,,[''],0,0.0,0,1,,0.000%,
75,2021-11-24 11:50,diesel,,[''],0,0.0,0,1,,0.000%,
76,2021-11-24 11:50,diesel,,[''],0,0.0,0,1,,0.000%,
77,2021-11-24 11:50,diesel,,[''],0,140.0,0,1,online,0.000%,
78,2021-11-24 11:50,diesel,,[''],0,140.0,0,1,online,0.000%,
79,2021-11-24 11:50,diesel,,[''],0,113.3,0,1,online,N/A,
80,2021-11-24 11:50,diesel,,[''],0,28.6,0,1,online,23.743%,
81,2021-11-24 11:50,diesel,,[''],0,40.8,0,1,online,N/A,
82,2021-11-24 11:50,diesel,,[''],0,0.0,0,1,online,,
83,2021-11-24 11:50,hydro,,[''],0,78.0,0,1,online,0.000%,
84,2021-11-24 11:50,hydro,,[''],0,78.0,0,1,online,0.000%,
85,2021-11-24 11:50,hydro,,[''],0,78.0,0,1,online,0.000%,
86,2021-11-24 11:50,hydro,,[''],0,92.0,0,1,online,0.000%,
87,2021-11-24 11:50,hydro,,[''],0,92.0,0,1,online,0.000%,
88,2021-11-24 11:50,hydro,,[''],0,92.0,0,1,online,6.087%,
89,2021-11-24 11:50,hydro,,[''],0,92.0,0,1,online,6.087%,
90,2021-11-24 11:50,hydro,,[''],0,54.4,0,1,online,0.000%,
91,2021-11-24 11:50,hydro,,[''],0,54.4,0,1,online,0.000%,
92,2021-11-24 11:50,hydro,,[''],0,54.4,0,1,online,34.527%,
93,2021-11-24 11:50,hydro,,[''],0,54.4,0,1,online,0.000%,
94,2021-11-24 11:50,hydro,,[''],0,22.5,0,1,online,41.333%,
95,2021-11-24 11:50,hydro,,[''],0,22.5,0,1,online,0.000%,
96,2021-11-24 11:50,hydro,,[''],0,22.5,0,1,online,53.333%,
97,2021-11-24 11:50,hydro,,[''],0,22.5,0,1,online,0.000%,
98,2021-11-24 11:50,hydro,,[''],0,105.0,0,1,online,0.000%,
99,2021-11-24 11:50,hydro,,[''],0,66.7,0,1,online,22.325%,
100,2021-11-24 11:50,hydro,,[''],0,66.7,0,1,online,0.000%,
101,2021-11-24 11:50,hydro,,[''],0,40.0,0,1,online,0.000%,
102,2021-11-24 11:50,hydro,,[''],0,40.0,0,1,online,0.000%,
103,2021-11-24 11:50,hydro,,[''],0,10.4,0,1,online,0.000%,
104,2021-11-24 11:50,hydro,,[''],0,10.4,0,1,online,0.000%,
105,2021-11-24 11:50,hydro,,[''],0,15.3,0,1,online,0.000%,
