,record_time,type,name,mappingName,capacity,used,percent,gov,status,note,noteId
0,2019-07-13 15:10,nuclear,核一#2,['核一'],636.0,0.0,0,True,fix,歲修逾排程,
1,2019-07-13 15:10,nuclear,核二#1,['核二'],985.0,969.2,98.4,True,online,,
2,2019-07-13 15:10,nuclear,核二#2,['核二'],985.0,970.6,98.54,True,online,,
3,2019-07-13 15:10,nuclear,核三#1,['核三'],951.0,934.7,98.29,True,online,,
4,2019-07-13 15:10,nuclear,核三#2,['核三'],951.0,938.1,98.64,True,online,,
5,2019-07-13 15:10,coal,林口#1,['林口'],800.0,753.1,94.14,True,online,,
6,2019-07-13 15:10,coal,林口#2,['林口'],800.0,757.5,94.69,True,online,,
7,2019-07-13 15:10,coal,林口#3(註10),['林口'],0.0,0.0,0,True,online,,10
8,2019-07-13 15:10,coal,台中#1,['台中'],550.0,253.6,46.11,True,online,環保限制,
9,2019-07-13 15:10,coal,台中#2,['台中'],550.0,322.9,58.71,True,online,,
10,2019-07-13 15:10,coal,台中#3,['台中'],550.0,387.5,70.45,True,online,測試運轉,
11,2019-07-13 15:10,coal,台中#4,['台中'],550.0,0.0,0,True,fix,檢修,
12,2019-07-13 15:10,coal,台中#5,['台中'],550.0,522.8,95.05,True,online,,
13,2019-07-13 15:10,coal,台中#6,['台中'],550.0,496.2,90.22,True,online,,
14,2019-07-13 15:10,coal,台中#7,['台中'],550.0,507.7,92.31,True,online,,
15,2019-07-13 15:10,coal,台中#8,['台中'],550.0,65.3,11.87,True,fix,檢修,
16,2019-07-13 15:10,coal,台中#9,['台中'],550.0,491.2,89.31,True,online,,
17,2019-07-13 15:10,coal,台中#10,['台中'],550.0,492.5,89.55,True,online,,
18,2019-07-13 15:10,coal,興達#1,['興達'],500.0,250.5,50.1,True,online,運轉限制,
19,2019-07-13 15:10,coal,興達#2,['興達'],500.0,478.4,95.68,True,online,,
20,2019-07-13 15:10,coal,興達#3,['興達'],550.0,514.4,93.53,True,online,,
21,2019-07-13 15:10,coal,興達#4,['興達'],550.0,353.9,64.35,True,online,運轉限制,
22,2019-07-13 15:10,coal,大林#1,['大林'],800.0,757.9,94.74,True,online,,
23,2019-07-13 15:10,coal,大林#2(註10),['大林'],0.0,763.4,0,True,online,新機組試俥,10
24,2019-07-13 15:10,co-gen,汽電共生,['co-gen'],623.2,544.7,87.4,True,online,,
25,2019-07-13 15:10,coal,和平#1,['和平'],648.6,598.8,92.32,False,online,,
26,2019-07-13 15:10,coal,和平#2,['和平'],648.6,604.9,93.26,False,online,,
27,2019-07-13 15:10,coal,麥寮#1,['麥寮'],600.0,570.7,95.12,False,online,,
28,2019-07-13 15:10,coal,麥寮#2,['麥寮'],600.0,566.0,94.33,False,online,,
29,2019-07-13 15:10,coal,麥寮#3,['麥寮'],600.0,570.8,95.13,False,online,,
30,2019-07-13 15:10,lng,大潭CC#1,['大潭'],742.7,474.6,63.9,True,online,部分檢修,
31,2019-07-13 15:10,lng,大潭CC#2,['大潭'],742.7,720.0,96.94,True,online,,
32,2019-07-13 15:10,lng,大潭CC#3,['大潭'],724.7,306.2,42.25,True,online,部分檢修,
33,2019-07-13 15:10,lng,大潭CC#4,['大潭'],724.7,664.5,91.69,True,online,,
34,2019-07-13 15:10,lng,大潭CC#5,['大潭'],724.7,634.7,87.58,True,online,,
35,2019-07-13 15:10,lng,大潭CC#6,['大潭'],724.7,663.9,91.61,True,online,,
36,2019-07-13 15:10,lng,大潭CC#7,['大潭'],600.0,0.0,0,True,online,,
37,2019-07-13 15:10,lng,通霄CC#1,['通霄'],892.6,758.3,84.95,True,online,,
38,2019-07-13 15:10,lng,通霄CC#2,['通霄'],892.6,292.9,32.81,True,online,電源線限制,
39,2019-07-13 15:10,lng,通霄CC#3(註10),['通霄'],0.0,705.3,0,True,online,新機組試俥,10
40,2019-07-13 15:10,lng,通霄CC#4,['通霄'],386.0,0.0,0,True,fix,歲修,
41,2019-07-13 15:10,lng,通霄CC#5,['通霄'],386.0,100.7,26.09,True,online,電源線限制,
42,2019-07-13 15:10,lng,通霄CC#6,['通霄'],321.2,105.7,32.91,True,online,部分檢修,
43,2019-07-13 15:10,lng,興達CC#1,['興達'],445.2,325.5,73.11,True,online,,
44,2019-07-13 15:10,lng,興達CC#2,['興達'],445.2,421.2,94.61,True,online,,
45,2019-07-13 15:10,lng,興達CC#3,['興達'],445.2,325.8,73.18,True,online,,
46,2019-07-13 15:10,lng,興達CC#4,['興達'],445.2,365.8,82.17,True,online,,
47,2019-07-13 15:10,lng,興達CC#5,['興達'],445.2,324.1,72.8,True,online,,
48,2019-07-13 15:10,lng,南部CC#1,['南部'],288.8,299.0,103.53,True,online,,
49,2019-07-13 15:10,lng,南部CC#2,['南部'],288.8,300.4,104.02,True,online,,
50,2019-07-13 15:10,lng,南部CC#3,['南部'],288.8,292.2,101.18,True,online,,
51,2019-07-13 15:10,lng,南部CC#4,['南部'],251.4,0.0,0,True,fix,歲修,
52,2019-07-13 15:10,lng,大林#5,['大林'],500.0,397.6,79.52,True,online,運轉限制,
53,2019-07-13 15:10,lng,大林#6,['大林'],550.0,434.4,78.98,True,online,運轉限制,
54,2019-07-13 15:10,lng,海湖#1,['海湖'],450.0,0.0,0,False,fix,檢修,
55,2019-07-13 15:10,lng,海湖#2,['海湖'],450.0,451.1,100.24,False,online,,
56,2019-07-13 15:10,lng,新桃#1,['新桃'],600.0,601.2,100.2,False,online,,
57,2019-07-13 15:10,lng,國光#1,['國光'],480.0,0.0,0,False,online,合約限制,
58,2019-07-13 15:10,lng,星彰#1,['星彰'],490.0,441.2,90.04,False,online,,
59,2019-07-13 15:10,lng,星元#1,['星元'],490.0,455.3,92.92,False,online,,
