,record_time,type,name,mappingName,capacity,used,percent,gov,status,note,noteId
0,2020-12-15 19:30,nuclear,核二#1,['核二'],985.0,0.0,0,True,break,故障,
1,2020-12-15 19:30,nuclear,核二#2,['核二'],985.0,0.0,0,True,fix,歲修,
2,2020-12-15 19:30,nuclear,核三#1,['核三'],951.0,947.2,99.6,True,online,,
3,2020-12-15 19:30,nuclear,核三#2,['核三'],951.0,946.1,99.48,True,online,,
4,2020-12-15 19:30,coal,林口#1,['林口'],800.0,758.3,94.79,True,online,,
5,2020-12-15 19:30,coal,林口#2,['林口'],800.0,0.0,0,True,fix,歲修,
6,2020-12-15 19:30,coal,林口#3,['林口'],800.0,757.2,94.65,True,online,,
7,2020-12-15 19:30,coal,台中#1,['台中'],550.0,0.0,0,True,fix,環保停機歲修,
8,2020-12-15 19:30,coal,台中#2,['台中'],550.0,422.3,76.78,True,online,環保限制,
9,2020-12-15 19:30,coal,台中#3,['台中'],550.0,0.0,0,True,fix,環保停機,
10,2020-12-15 19:30,coal,台中#4,['台中'],550.0,366.3,66.6,True,online,環保限制,
11,2020-12-15 19:30,coal,台中#5,['台中'],550.0,0.0,0,True,fix,環保停機,
12,2020-12-15 19:30,coal,台中#6,['台中'],550.0,487.8,88.69,True,online,環保限制,
13,2020-12-15 19:30,coal,台中#7,['台中'],550.0,473.9,86.16,True,online,環保限制,
14,2020-12-15 19:30,coal,台中#8,['台中'],550.0,491.1,89.29,True,online,環保限制,
15,2020-12-15 19:30,coal,台中#9,['台中'],550.0,445.7,81.04,True,online,環保限制,
16,2020-12-15 19:30,coal,台中#10,['台中'],550.0,499.7,90.85,True,online,環保限制,
17,2020-12-15 19:30,coal,興達#1,['興達'],500.0,0.0,0,True,fix,環保停機歲修,
18,2020-12-15 19:30,coal,興達#2,['興達'],500.0,306.2,61.24,True,online,環保限制,
19,2020-12-15 19:30,coal,興達#3,['興達'],550.0,332.8,60.51,True,online,環保限制,
20,2020-12-15 19:30,coal,興達#4,['興達'],550.0,0.0,0,True,fix,環保停機歲修,
21,2020-12-15 19:30,coal,大林#1,['大林'],800.0,759.4,94.93,True,online,,
22,2020-12-15 19:30,coal,大林#2,['大林'],800.0,760.3,95.04,True,online,,
23,2020-12-15 19:30,co-gen,汽電共生,['co-gen'],618.0,736.8,119.22,True,online,部分歲修,
24,2020-12-15 19:30,coal,和平#1,['和平'],648.6,595.4,91.8,False,online,,
25,2020-12-15 19:30,coal,和平#2,['和平'],648.6,0.0,0,False,fix,歲修,
26,2020-12-15 19:30,coal,麥寮#1,['麥寮'],600.0,570.7,95.12,False,online,,
27,2020-12-15 19:30,coal,麥寮#2,['麥寮'],600.0,0.0,0,False,fix,歲修,
28,2020-12-15 19:30,coal,麥寮#3,['麥寮'],600.0,570.0,95,False,online,,
29,2020-12-15 19:30,lng,大潭CC#1,['大潭'],742.7,683.0,91.96,True,online,,
30,2020-12-15 19:30,lng,大潭CC#2,['大潭'],742.7,691.7,93.13,True,online,,
31,2020-12-15 19:30,lng,大潭CC#3,['大潭'],724.7,0.0,0,True,fix,歲修,
32,2020-12-15 19:30,lng,大潭CC#4,['大潭'],724.7,609.8,84.15,True,online,,
33,2020-12-15 19:30,lng,大潭CC#5,['大潭'],724.7,519.9,71.74,True,online,,
34,2020-12-15 19:30,lng,大潭CC#6,['大潭'],724.7,560.7,77.37,True,online,,
35,2020-12-15 19:30,lng,大潭CC#7,['大潭'],600.0,183.3,30.55,True,online,部分檢修,
36,2020-12-15 19:30,lng,通霄CC#1,['通霄'],892.6,450.1,50.43,True,online,部分歲修,
37,2020-12-15 19:30,lng,通霄CC#2,['通霄'],892.6,940.1,105.32,True,online,,
38,2020-12-15 19:30,lng,通霄CC#3,['通霄'],892.6,912.2,102.2,True,online,,
39,2020-12-15 19:30,lng,通霄CC#4,['通霄'],386.0,388.0,100.52,True,online,,
40,2020-12-15 19:30,lng,通霄CC#5,['通霄'],386.0,379.5,98.32,True,online,,
41,2020-12-15 19:30,lng,通霄CC#6,['通霄'],321.2,312.2,97.2,True,online,,
42,2020-12-15 19:30,lng,興達CC#1,['興達'],445.2,291.6,65.5,True,online,部分歲修,
43,2020-12-15 19:30,lng,興達CC#2,['興達'],445.2,397.2,89.22,True,online,,
44,2020-12-15 19:30,lng,興達CC#3,['興達'],445.2,435.7,97.87,True,online,,
45,2020-12-15 19:30,lng,興達CC#4,['興達'],445.2,414.0,92.99,True,online,,
46,2020-12-15 19:30,lng,興達CC#5,['興達'],445.2,451.9,101.5,True,online,,
47,2020-12-15 19:30,lng,南部CC#1,['南部'],288.8,319.9,110.77,True,online,,
48,2020-12-15 19:30,lng,南部CC#2,['南部'],288.8,321.4,111.29,True,online,,
49,2020-12-15 19:30,lng,南部CC#3,['南部'],288.8,274.3,94.98,True,online,,
50,2020-12-15 19:30,lng,南部CC#4,['南部'],251.4,234.0,93.08,True,online,,
51,2020-12-15 19:30,lng,大林#5,['大林'],500.0,293.7,58.74,True,online,運轉限制,
52,2020-12-15 19:30,lng,大林#6,['大林'],550.0,387.4,70.44,True,online,,
53,2020-12-15 19:30,lng,海湖#1,['海湖'],450.0,459.1,102.02,False,online,,
54,2020-12-15 19:30,lng,海湖#2,['海湖'],450.0,459.7,102.16,False,online,,
55,2020-12-15 19:30,lng,新桃#1,['新桃'],600.0,629.0,104.83,False,online,,
56,2020-12-15 19:30,lng,國光#1,['國光'],480.0,488.5,101.77,False,online,,
57,2020-12-15 19:30,lng,星彰#1,['星彰'],506.9,530.8,104.71,False,online,,
58,2020-12-15 19:30,lng,星元#1,['星元'],490.0,0.0,0,False,fix,歲修,
59,2020-12-15 19:30,lng,嘉惠#1,['嘉惠'],670.0,689.0,102.84,False,online,,
60,2020-12-15 19:30,lng,豐德#1,['豐德'],506.9,532.0,104.95,False,online,,
61,2020-12-15 19:30,lng,豐德#2,['豐德'],506.9,527.5,104.06,False,online,,
62,2020-12-15 19:30,oil,協和#3,['協和'],500.0,441.4,88.28,True,online,環保限制,
63,2020-12-15 19:30,oil,協和#4,['協和'],500.0,412.9,82.58,True,online,環保限制,
64,2020-12-15 19:30,diesel,核二Gas1,['核二'],0.0,0.0,0,True,online,,
65,2020-12-15 19:30,diesel,核二Gas2,['核二'],0.0,0.0,0,True,online,,
66,2020-12-15 19:30,diesel,核三Gas1,['核三'],0.0,0.0,0,True,fix,檢修,
67,2020-12-15 19:30,diesel,核三Gas2,['核三'],0.0,0.0,0,True,fix,歲修,
68,2020-12-15 19:30,diesel,台中Gas1&2,['台中&2'],140.0,0.0,0,True,online,,
69,2020-12-15 19:30,diesel,台中Gas3&4,['台中'],140.0,0.0,0,True,online,,
70,2020-12-15 19:30,diesel,澎湖尖山(註4),[['尖山']],129.8,30.9,23.81,True,online,,4
71,2020-12-15 19:30,diesel,金門塔山(註4),[['塔山']],113.3,36.3,32.04,True,online,,4
72,2020-12-15 19:30,diesel,馬祖珠山(註4),"[['珠山', '南竿', '北竿']]",28.6,9.5,33.22,True,online,,4
73,2020-12-15 19:30,diesel,離島其他(註4),"[['離島', '蘭嶼', '綠島', '旭光', '東引', '七美', '望安', '虎井']]",42.7,0.0,0,True,online,,4
74,2020-12-15 19:30,hydro,德基#1,['大甲溪'],78.0,0.0,0,True,online,,
75,2020-12-15 19:30,hydro,德基#2,['大甲溪'],78.0,29.5,37.82,True,online,,
76,2020-12-15 19:30,hydro,德基#3,['大甲溪'],78.0,0.0,0,True,online,,
77,2020-12-15 19:30,hydro,青山#1,['大甲溪'],92.0,5.9,6.41,True,online,,
78,2020-12-15 19:30,hydro,青山#2,['大甲溪'],92.0,5.9,6.41,True,online,,
79,2020-12-15 19:30,hydro,青山#3,['大甲溪'],92.0,6.1,6.63,True,online,,
80,2020-12-15 19:30,hydro,青山#4,['大甲溪'],92.0,0.0,0,True,online,,
81,2020-12-15 19:30,hydro,谷關#1,['大甲溪'],54.4,0.0,0,True,fix,檢修,
82,2020-12-15 19:30,hydro,谷關#2,['大甲溪'],54.4,0.0,0,True,online,,
