,record_time,type,name,mappingName,capacity,used,percent,gov,status,note,noteId
0,2020-05-04 20:10,nuclear,核二#1,['核二'],985.0,839.2,85.2,True,online,,
1,2020-05-04 20:10,nuclear,核二#2,['核二'],985.0,979.9,99.48,True,online,,
2,2020-05-04 20:10,nuclear,核三#1,['核三'],951.0,956.3,100.56,True,online,,
3,2020-05-04 20:10,nuclear,核三#2,['核三'],951.0,0.0,0,True,fix,歲修,
4,2020-05-04 20:10,coal,林口#1,['林口'],800.0,0.0,0,True,fix,歲修,
5,2020-05-04 20:10,coal,林口#2,['林口'],800.0,759.3,94.91,True,online,,
6,2020-05-04 20:10,coal,林口#3,['林口'],800.0,760.2,95.03,True,online,,
7,2020-05-04 20:10,coal,台中#1,['台中'],550.0,424.5,77.18,True,online,運轉限制,
8,2020-05-04 20:10,coal,台中#2,['台中'],550.0,0.0,0,True,fix,環保停機,
9,2020-05-04 20:10,coal,台中#3,['台中'],550.0,0.0,0,True,fix,環保停機,
10,2020-05-04 20:10,coal,台中#4,['台中'],550.0,487.5,88.64,True,online,,
11,2020-05-04 20:10,coal,台中#5,['台中'],550.0,522.7,95.04,True,online,,
12,2020-05-04 20:10,coal,台中#6,['台中'],550.0,0.0,0,True,fix,歲修,
13,2020-05-04 20:10,coal,台中#7,['台中'],550.0,512.4,93.16,True,online,,
14,2020-05-04 20:10,coal,台中#8,['台中'],550.0,526.3,95.69,True,online,,
15,2020-05-04 20:10,coal,台中#9,['台中'],550.0,508.2,92.4,True,online,,
16,2020-05-04 20:10,coal,台中#10,['台中'],550.0,529.8,96.33,True,online,,
17,2020-05-04 20:10,coal,興達#1,['興達'],500.0,477.1,95.42,True,online,,
18,2020-05-04 20:10,coal,興達#2,['興達'],500.0,474.6,94.92,True,online,,
19,2020-05-04 20:10,coal,興達#3,['興達'],550.0,518.3,94.24,True,online,,
20,2020-05-04 20:10,coal,興達#4,['興達'],550.0,519.4,94.44,True,online,,
21,2020-05-04 20:10,coal,大林#1,['大林'],800.0,757.7,94.71,True,online,,
22,2020-05-04 20:10,coal,大林#2,['大林'],800.0,0.0,0,True,fix,環保停機歲修,
23,2020-05-04 20:10,co-gen,汽電共生,['co-gen'],618.0,825.9,133.64,True,online,部分歲修,
24,2020-05-04 20:10,coal,和平#1,['和平'],648.6,599.8,92.48,False,online,,
25,2020-05-04 20:10,coal,和平#2,['和平'],648.6,598.2,92.23,False,online,,
26,2020-05-04 20:10,coal,麥寮#1,['麥寮'],600.0,569.5,94.92,False,online,,
27,2020-05-04 20:10,coal,麥寮#2,['麥寮'],600.0,565.3,94.22,False,online,,
28,2020-05-04 20:10,coal,麥寮#3,['麥寮'],600.0,571.3,95.22,False,online,,
29,2020-05-04 20:10,lng,大潭CC#1,['大潭'],742.7,762.8,102.71,True,online,,
30,2020-05-04 20:10,lng,大潭CC#2,['大潭'],742.7,764.2,102.89,True,online,,
31,2020-05-04 20:10,lng,大潭CC#3,['大潭'],724.7,671.1,92.6,True,online,,
32,2020-05-04 20:10,lng,大潭CC#4,['大潭'],724.7,643.2,88.75,True,online,,
33,2020-05-04 20:10,lng,大潭CC#5,['大潭'],724.7,701.9,96.85,True,online,,
34,2020-05-04 20:10,lng,大潭CC#6,['大潭'],724.7,0.0,0,True,fix,歲修,
