,Unnamed: 0,record_time,type,name,mappingName,capacity,used,percent,gov,status,note,noteId,year,month
157,157,2021-02-14 17:00,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,02
158,158,2021-05-30 20:50,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,05
158,158,2021-06-15 02:10,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
158,158,2021-06-04 10:10,wind,海洋竹南,['海洋竹南'],128.0,108.8,85.0,True,online,,,2021,06
158,158,2021-04-15 10:40,wind,海洋竹南,['海洋竹南'],128.0,48.3,37.73,True,online,,,2021,04
157,157,2021-01-13 00:40,wind,海洋竹南,['海洋竹南'],128.0,46.2,36.09,True,online,,,2021,01
157,157,2021-03-07 08:40,wind,海洋竹南,['海洋竹南'],128.0,127.5,99.61,True,online,,,2021,03
158,158,2021-06-01 07:00,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
157,157,2021-01-24 23:50,wind,海洋竹南,['海洋竹南'],128.0,55.2,43.13,True,online,,,2021,01
158,158,2021-06-28 02:20,wind,海洋竹南,['海洋竹南'],128.0,79.4,62.03,True,online,,,2021,06
157,157,2021-01-26 21:20,wind,海洋竹南,['海洋竹南'],128.0,123.5,96.48,True,online,,,2021,01
158,158,2021-05-24 11:40,wind,海洋竹南,['海洋竹南'],128.0,99.1,77.42,True,online,,,2021,05
157,157,2021-03-15 17:50,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,03
158,158,2021-05-22 07:50,wind,海洋竹南,['海洋竹南'],128.0,102.5,80.08,True,online,,,2021,05
157,157,2021-02-27 02:10,wind,海洋竹南,['海洋竹南'],128.0,127.5,99.61,True,online,,,2021,02
157,157,2021-01-14 01:30,wind,海洋竹南,['海洋竹南'],128.0,10.1,7.89,True,online,,,2021,01
158,158,2021-05-15 06:30,wind,海洋竹南,['海洋竹南'],128.0,16.8,13.13,True,online,,,2021,05
158,158,2021-03-23 11:00,wind,海洋竹南,['海洋竹南'],128.0,6.7,5.23,True,online,,,2021,03
158,158,2021-06-16 07:10,wind,海洋竹南,['海洋竹南'],128.0,89.3,69.77,True,online,,,2021,06
157,157,2021-02-09 04:50,wind,海洋竹南,['海洋竹南'],128.0,123.9,96.8,True,online,,,2021,02
157,157,2021-01-11 17:30,wind,海洋竹南,['海洋竹南'],128.0,104.2,81.41,True,online,,,2021,01
157,157,2021-02-10 14:20,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,02
158,158,2021-06-30 12:20,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
157,157,2021-02-06 12:20,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,02
158,158,2021-06-10 19:30,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
157,157,2021-02-28 02:00,wind,海洋竹南,['海洋竹南'],128.0,122.8,95.94,True,online,,,2021,02
158,158,2021-04-20 09:00,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,04
157,157,2021-02-02 23:10,wind,海洋竹南,['海洋竹南'],128.0,123.9,96.8,True,online,,,2021,02
157,157,2021-02-25 23:30,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,02
158,158,2021-05-15 19:30,wind,海洋竹南,['海洋竹南'],128.0,86.1,67.27,True,online,,,2021,05
157,157,2021-03-17 10:40,wind,海洋竹南,['海洋竹南'],128.0,43.5,33.98,True,online,,,2021,03
157,157,2021-03-17 16:30,wind,海洋竹南,['海洋竹南'],128.0,66.4,51.88,True,online,,,2021,03
158,158,2021-06-08 01:40,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
157,157,2021-02-03 12:40,wind,海洋竹南,['海洋竹南'],128.0,28.6,22.34,True,online,,,2021,02
157,157,2021-03-13 02:30,wind,海洋竹南,['海洋竹南'],128.0,122.6,95.78,True,online,,,2021,03
156,156,2021-01-19 04:50,wind,海洋竹南,['海洋竹南'],128.0,5.0,3.91,True,online,,,2021,01
157,157,2021-01-13 16:30,wind,海洋竹南,['海洋竹南'],128.0,26.0,20.31,True,online,,,2021,01
158,158,2021-04-25 23:20,wind,海洋竹南,['海洋竹南'],128.0,32.3,25.23,True,online,,,2021,04
157,157,2021-01-26 07:00,wind,海洋竹南,['海洋竹南'],128.0,3.6,2.81,True,online,,,2021,01
158,158,2021-06-02 10:00,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
157,157,2021-03-09 19:20,wind,海洋竹南,['海洋竹南'],128.0,126.8,99.06,True,online,,,2021,03
157,157,2021-02-04 09:30,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,02
158,158,2021-06-10 05:50,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
158,158,2021-05-17 10:50,wind,海洋竹南,['海洋竹南'],128.0,116.8,91.25,True,online,,,2021,05
158,158,2021-06-05 19:20,wind,海洋竹南,['海洋竹南'],128.0,5.0,3.91,True,online,,,2021,06
157,157,2021-01-12 05:40,wind,海洋竹南,['海洋竹南'],128.0,105.8,82.66,True,online,,,2021,01
157,157,2021-01-30 15:30,wind,海洋竹南,['海洋竹南'],128.0,19.3,15.08,True,online,,,2021,01
158,158,2021-05-05 14:40,wind,海洋竹南,['海洋竹南'],128.0,127.9,99.92,True,online,,,2021,05
158,158,2021-05-22 02:30,wind,海洋竹南,['海洋竹南'],128.0,36.8,28.75,True,online,,,2021,05
158,158,2021-04-19 20:30,wind,海洋竹南,['海洋竹南'],128.0,44.1,34.45,True,online,,,2021,04
158,158,2021-04-28 04:10,wind,海洋竹南,['海洋竹南'],128.0,0.8,0.63,True,online,,,2021,04
158,158,2021-06-18 04:50,wind,海洋竹南,['海洋竹南'],128.0,69.7,54.45,True,online,,,2021,06
157,157,2021-03-08 04:30,wind,海洋竹南,['海洋竹南'],128.0,127.5,99.61,True,online,,,2021,03
158,158,2021-06-06 22:40,wind,海洋竹南,['海洋竹南'],128.0,16.6,12.97,True,online,,,2021,06
158,158,2021-05-27 20:20,wind,海洋竹南,['海洋竹南'],128.0,60.9,47.58,True,online,,,2021,05
157,157,2021-03-08 05:30,wind,海洋竹南,['海洋竹南'],128.0,127.5,99.61,True,online,,,2021,03
158,158,2021-05-29 07:50,wind,海洋竹南,['海洋竹南'],128.0,73.5,57.42,True,online,,,2021,05
158,158,2021-04-19 18:20,wind,海洋竹南,['海洋竹南'],128.0,65.5,51.17,True,online,,,2021,04
157,157,2021-02-18 18:40,wind,海洋竹南,['海洋竹南'],128.0,127.3,99.45,True,online,,,2021,02
157,157,2021-02-19 10:00,wind,海洋竹南,['海洋竹南'],128.0,1.9,1.48,True,online,,,2021,02
157,157,2021-03-18 08:10,wind,海洋竹南,['海洋竹南'],128.0,17.2,13.44,True,online,,,2021,03
157,157,2021-02-18 16:50,wind,海洋竹南,['海洋竹南'],128.0,127.3,99.45,True,online,,,2021,02
158,158,2021-04-20 18:50,wind,海洋竹南,['海洋竹南'],128.0,8.0,6.25,True,online,,,2021,04
157,157,2021-02-16 16:00,wind,海洋竹南,['海洋竹南'],128.0,7.1,5.55,True,online,,,2021,02
158,158,2021-06-21 08:50,wind,海洋竹南,['海洋竹南'],128.0,69.3,54.14,True,online,,,2021,06
157,157,2021-01-04 02:20,wind,海洋竹南,['海洋竹南'],128.0,125.2,97.81,True,online,,,2021,01
157,157,2021-01-06 23:40,wind,海洋竹南,['海洋竹南'],128.0,127.5,99.61,True,online,,,2021,01
157,157,2021-01-11 17:10,wind,海洋竹南,['海洋竹南'],128.0,102.3,79.92,True,online,,,2021,01
158,158,2021-06-10 02:50,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
157,157,2021-02-22 08:30,wind,海洋竹南,['海洋竹南'],128.0,0.8,0.63,True,online,,,2021,02
157,157,2021-03-19 18:40,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,03
157,157,2021-01-23 13:50,wind,海洋竹南,['海洋竹南'],128.0,41.2,32.19,True,online,,,2021,01
157,157,2021-02-24 07:20,wind,海洋竹南,['海洋竹南'],128.0,115.9,90.55,True,online,,,2021,02
156,156,2021-01-18 20:40,wind,海洋竹南,['海洋竹南'],128.0,93.7,73.2,True,online,,,2021,01
158,158,2021-06-19 05:00,wind,海洋竹南,['海洋竹南'],128.0,69.7,54.45,True,online,,,2021,06
157,157,2021-03-01 05:00,wind,海洋竹南,['海洋竹南'],128.0,1.3,1.02,True,online,,,2021,03
158,158,2021-04-10 16:10,wind,海洋竹南,['海洋竹南'],128.0,127.7,99.77,True,online,,,2021,04
158,158,2021-05-10 11:30,wind,海洋竹南,['海洋竹南'],128.0,58.8,45.94,True,online,,,2021,05
158,158,2021-04-14 10:10,wind,海洋竹南,['海洋竹南'],128.0,70.6,55.16,True,online,,,2021,04
157,157,2021-03-11 21:00,wind,海洋竹南,['海洋竹南'],128.0,0.6,0.47,True,online,,,2021,03
158,158,2021-06-24 11:50,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
158,158,2021-04-20 02:40,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,04
157,157,2021-02-18 19:40,wind,海洋竹南,['海洋竹南'],128.0,127.3,99.45,True,online,,,2021,02
157,157,2021-03-12 08:00,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,03
158,158,2021-06-03 15:00,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
158,158,2021-06-04 22:10,wind,海洋竹南,['海洋竹南'],128.0,13.0,10.16,True,online,,,2021,06
158,158,2021-06-09 03:20,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
157,157,2021-03-10 18:20,wind,海洋竹南,['海洋竹南'],128.0,127.3,99.45,True,online,,,2021,03
158,158,2021-06-30 12:30,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
158,158,2021-04-14 15:30,wind,海洋竹南,['海洋竹南'],128.0,124.5,97.27,True,online,,,2021,04
157,157,2021-02-18 08:10,wind,海洋竹南,['海洋竹南'],128.0,127.3,99.45,True,online,,,2021,02
157,157,2021-02-08 23:10,wind,海洋竹南,['海洋竹南'],128.0,123.5,96.48,True,online,,,2021,02
158,158,2021-04-10 17:20,wind,海洋竹南,['海洋竹南'],128.0,127.7,99.77,True,online,,,2021,04
158,158,2021-04-12 05:30,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,04
158,158,2021-06-12 16:30,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
157,157,2021-02-04 19:10,wind,海洋竹南,['海洋竹南'],128.0,71.8,56.09,True,online,,,2021,02
158,158,2021-06-26 21:30,wind,海洋竹南,['海洋竹南'],128.0,89.3,69.77,True,online,,,2021,06
157,157,2021-03-07 14:00,wind,海洋竹南,['海洋竹南'],128.0,127.5,99.61,True,online,,,2021,03
157,157,2021-01-12 12:30,wind,海洋竹南,['海洋竹南'],128.0,93.2,72.81,True,online,,,2021,01
157,157,2021-02-11 08:50,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,02
157,157,2021-03-12 22:30,wind,海洋竹南,['海洋竹南'],128.0,122.2,95.47,True,online,,,2021,03
157,157,2021-02-09 18:10,wind,海洋竹南,['海洋竹南'],128.0,122.6,95.78,True,online,,,2021,02
158,158,2021-05-26 18:20,wind,海洋竹南,['海洋竹南'],128.0,110.9,86.64,True,online,,,2021,05
157,157,2021-01-12 17:50,wind,海洋竹南,['海洋竹南'],128.0,127.7,99.77,True,online,,,2021,01
157,157,2021-02-16 07:00,wind,海洋竹南,['海洋竹南'],128.0,0.2,0.16,True,online,,,2021,02
157,157,2021-03-01 08:00,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,03
158,158,2021-04-29 21:50,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,04
158,158,2021-05-06 19:10,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,05
157,157,2021-03-15 13:50,wind,海洋竹南,['海洋竹南'],128.0,2.3,1.8,True,online,,,2021,03
158,158,2021-05-26 01:40,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,05
158,158,2021-04-28 15:40,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,04
158,158,2021-06-23 11:40,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
158,158,2021-06-11 22:30,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
158,158,2021-06-18 05:20,wind,海洋竹南,['海洋竹南'],128.0,69.7,54.45,True,online,,,2021,06
158,158,2021-06-12 01:40,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
158,158,2021-05-11 07:00,wind,海洋竹南,['海洋竹南'],128.0,124.9,97.58,True,online,,,2021,05
158,158,2021-06-12 06:20,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
158,158,2021-03-29 21:20,wind,海洋竹南,['海洋竹南'],128.0,16.6,12.97,True,online,,,2021,03
157,157,2021-02-13 02:40,wind,海洋竹南,['海洋竹南'],128.0,51.9,40.55,True,online,,,2021,02
157,157,2021-01-06 07:40,wind,海洋竹南,['海洋竹南'],128.0,127.7,99.77,True,online,,,2021,01
158,158,2021-05-13 22:10,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,05
156,156,2021-01-18 09:40,wind,海洋竹南,['海洋竹南'],128.0,123.3,96.33,True,online,,,2021,01
158,158,2021-05-29 18:20,wind,海洋竹南,['海洋竹南'],128.0,109.8,85.78,True,online,,,2021,05
158,158,2021-06-30 16:40,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
157,157,2021-01-23 01:00,wind,海洋竹南,['海洋竹南'],128.0,126.8,99.06,True,online,,,2021,01
158,158,2021-03-20 21:00,wind,海洋竹南,['海洋竹南'],128.0,36.1,28.2,True,online,,,2021,03
157,157,2021-02-12 07:30,wind,海洋竹南,['海洋竹南'],128.0,123.1,96.17,True,online,,,2021,02
157,157,2021-01-11 08:10,wind,海洋竹南,['海洋竹南'],128.0,127.5,99.61,True,online,,,2021,01
157,157,2021-01-12 15:50,wind,海洋竹南,['海洋竹南'],128.0,126.0,98.44,True,online,,,2021,01
158,158,2021-06-18 20:20,wind,海洋竹南,['海洋竹南'],128.0,69.7,54.45,True,online,,,2021,06
157,157,2021-02-07 22:50,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,02
158,158,2021-06-04 07:10,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
158,158,2021-05-10 20:50,wind,海洋竹南,['海洋竹南'],128.0,11.5,8.98,True,online,,,2021,05
158,158,2021-04-16 09:10,wind,海洋竹南,['海洋竹南'],128.0,44.1,34.45,True,online,,,2021,04
158,158,2021-04-20 22:30,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,04
158,158,2021-04-24 16:20,wind,海洋竹南,['海洋竹南'],128.0,125.2,97.81,True,online,,,2021,04
158,158,2021-06-29 04:00,wind,海洋竹南,['海洋竹南'],128.0,79.4,62.03,True,online,,,2021,06
158,158,2021-05-08 05:10,wind,海洋竹南,['海洋竹南'],128.0,33.6,26.25,True,online,,,2021,05
157,157,2021-01-29 13:00,wind,海洋竹南,['海洋竹南'],128.0,123.5,96.48,True,online,,,2021,01
157,157,2021-02-19 10:30,wind,海洋竹南,['海洋竹南'],128.0,0.8,0.63,True,online,,,2021,02
157,157,2021-01-11 16:00,wind,海洋竹南,['海洋竹南'],128.0,122.6,95.78,True,online,,,2021,01
158,158,2021-03-20 21:50,wind,海洋竹南,['海洋竹南'],128.0,31.9,24.92,True,online,,,2021,03
158,158,2021-06-22 07:50,wind,海洋竹南,['海洋竹南'],128.0,69.7,54.45,True,online,,,2021,06
157,157,2021-01-02 09:30,wind,海洋竹南,['海洋竹南'],128.0,103.7,81.02,True,online,,,2021,01
157,157,2021-03-17 18:40,wind,海洋竹南,['海洋竹南'],128.0,54.0,42.19,True,online,,,2021,03
157,157,2021-02-12 00:10,wind,海洋竹南,['海洋竹南'],128.0,123.9,96.8,True,online,,,2021,02
157,157,2021-01-01 20:30,wind,海洋竹南,['海洋竹南'],128.0,97.9,76.48,True,online,,,2021,01
158,158,2021-06-19 18:30,wind,海洋竹南,['海洋竹南'],128.0,69.7,54.45,True,online,,,2021,06
158,158,2021-03-22 17:50,wind,海洋竹南,['海洋竹南'],128.0,127.7,99.77,True,online,,,2021,03
