,Unnamed: 0,record_time,type,name,mappingName,capacity,used,percent,gov,status,note,noteId,year,month
0,0,2021-08-30 19:00,nuclear,核二#1,['核二'],985.0,0.0,0.0,1,break,停機維護,,2021,08
32,32,2021-09-09 03:00,lng,大潭CC#4,['大潭'],724.7,649.3,89.6,1,online,,,2021,09
32,32,2021-07-03 04:50,lng,大潭CC#4,['大潭'],724.7,676.7,93.38,1,online,,,2021,07
32,32,2021-09-04 23:40,lng,大潭CC#4,['大潭'],724.7,667.9,92.16,1,online,,,2021,09
32,32,2021-08-07 01:40,lng,大潭CC#4,['大潭'],724.7,672.6,92.81,1,online,,,2021,08
32,32,2021-06-14 01:30,lng,大潭CC#4,['大潭'],724.7,667.6,92.12,1,online,,,2021,06
32,32,2021-08-08 14:50,lng,大潭CC#4,['大潭'],724.7,650.0,89.69,1,online,,,2021,08
32,32,2021-11-30 15:20,lng,大潭CC#4,['大潭'],724.7,692.3,95.53,1,online,,,2021,11
32,32,2021-05-26 18:00,lng,大潭CC#4,['大潭'],724.7,685.0,94.52,1,online,,,2021,05
32,32,2021-12-07 07:10,lng,大潭CC#4,['大潭'],724.7,670.9,92.58,1,online,,,2021,12
32,32,2021-06-18 22:40,lng,大潭CC#4,['大潭'],724.7,671.6,92.67,1,online,,,2021,06
32,32,2021-12-15 01:50,lng,大潭CC#4,['大潭'],724.7,0.0,0.0,1,fix,歲修,,2021,12
32,32,2021-06-14 02:50,lng,大潭CC#4,['大潭'],724.7,666.6,91.98,1,online,,,2021,06
32,32,2021-08-29 16:00,lng,大潭CC#4,['大潭'],724.7,647.4,89.33,1,online,,,2021,08
32,32,2021-11-15 05:20,lng,大潭CC#4,['大潭'],724.7,704.6,97.23,1,online,,,2021,11
32,32,2021-10-10 23:30,lng,大潭CC#4,['大潭'],724.7,650.5,89.76,1,online,,,2021,10
32,32,2021-04-10 02:50,lng,大潭CC#4,['大潭'],724.7,299.2,41.29,True,online,,,2021,04
32,32,2021-10-27 20:10,lng,大潭CC#4,['大潭'],724.7,692.1,95.5,1,online,,,2021,10
32,32,2021-06-30 09:10,lng,大潭CC#4,['大潭'],724.7,670.9,92.58,1,online,,,2021,06
32,32,2021-09-25 19:50,lng,大潭CC#4,['大潭'],724.7,667.0,92.04,1,online,,,2021,09
32,32,2021-09-30 16:00,lng,大潭CC#4,['大潭'],724.7,668.5,92.25,1,online,,,2021,09
32,32,2021-07-16 06:50,lng,大潭CC#4,['大潭'],724.7,662.8,91.46,1,online,,,2021,07
32,32,2021-08-26 21:50,lng,大潭CC#4,['大潭'],724.7,651.9,89.95,1,online,,,2021,08
